account_age,monthly_spend,support_tickets,last_login_days_ago,churn
24,150.50,2,5,0
12,80.25,5,32,1
36,350.00,0,2,0
6,50.75,8,45,1
48,220.10,1,10,0
18,95.40,6,25,0
30,180.00,3,15,0
2,30.00,9,60,1
55,450.80,0,1,0
9,75.00,4,40,1
42,310.20,1,8,0
15,110.60,7,28,1
28,200.00,2,12,0
3,45.50,6,50,1
50,400.75,1,3,0
22,130.90,4,18,0
10,85.20,5,35,1
38,280.40,2,9,0
7,60.00,7,42,1
45,380.50,0,4,0
1,25.00,10,70,1
19,105.00,3,20,0
33,250.30,1,11,0
14,99.99,6,33,1
41,320.00,2,7,0
4,55.80,8,48,1
27,190.10,3,14,0
11,90.70,5,29,1
49,390.60,1,5,0
8,65.30,7,38,1
31,230.00,2,10,0
16,120.50,4,22,0
5,58.20,9,55,1
39,290.80,1,6,0
25,160.70,3,16,0
13,95.00,6,31,1
44,350.25,0,3,0
20,115.80,4,21,0
60,500.00,0,0,0
2,35.10,8,65,1
34,260.90,1,9,0
23,145.40,3,17,0
17,125.00,5,26,1
37,275.00,2,8,0
29,210.20,2,13,0
21,125.00,4,19,0
32,240.15,1,11,0
26,175.00,3,15,0
35,270.50,2,9,0
40,300.00,1,7,0
43,330.80,0,4,0
46,370.20,1,6,0
47,385.90,0,2,0
52,420.50,0,1,0
58,480.00,1,0,0
25,488.83,8,83,1
4,28.42,1,1,0
21,202.11,8,68,1
43,323.36,2,1,0
5,106.59,7,1,1
52,498.33,1,21,0
43,136.29,3,28,0
20,103.23,2,2,0
1,111.39,9,80,1
1,111.92,8,88,1
28,49.01,2,2,0
1,102.13,9,0,0
2,123.81,8,82,1
29,103.33,1,2,0
1,116.65,10,89,1
4,129.94,8,71,1
3,112.82,7,81,1
3,124.01,9,77,1
2,131.45,7,85,1
4,112.68,6,83,1
2,137.42,8,70,1
5,103.68,7,89,1
4,133.21,8,80,1
3,119.21,7,73,1
5,107.89,6,85,1
2,122.84,9,75,1
4,117.31,7,82,1
3,128.92,8,78,1
5,105.55,6,88,1
2,135.11,9,72,1
4,110.88,7,84,1
3,121.45,8,76,1
5,109.32,6,86,1
2,130.76,9,74,1
4,115.93,7,81,1
3,126.76,8,79,1
5,101.98,6,87,1
2,139.87,9,71,1
4,114.54,7,83,1
3,124.32,8,77,1
5,103.12,6,89,1
2,141.54,9,70,1
