SquareFeet,NumBedrooms,NumBathrooms,Price
1500,3,2,310500
1600,3,2.5,335000
1200,2,2,250000
1800,4,3,405000
2100,4,3.5,470000
1950,4,3,440000
1400,3,2,295000
2500,5,4,580000
1100,2,1.5,230000
2200,4,3,490000
1850,3,2.5,415000
1700,3,2.5,370000
2800,5,4.5,650000
1300,3,2,275000
2000,4,3,455000
1750,3,2.5,390000
2300,4,3.5,510000
2400,4,3.5,540000
1350,3,2,285000
1550,3,2,320000
2600,5,4,610000
1450,3,2.5,305000
2050,4,3,465000
1900,4,3,425000
2700,5,4.5,630000
1150,2,2,240000
2150,4,3,480000
1650,3,2.5,350000
2250,4,3.5,500000
1780,3,2.5,395000
2350,4,3,525000
1250,2,2,260000
1880,4,3,420000
2020,4,3,460000
2900,5,4.5,680000
1320,3,2,280000
1580,3,2.5,330000
2450,4,3.5,560000
1180,2,2,245000
2220,4,3,495000
1620,3,2.5,340000
2550,5,4,590000
1280,3,2,270000
1980,4,3,445000
2650,5,4.5,620000
1480,3,2.5,315000
2080,4,3,475000
1820,3,2.5,405000
2320,4,3.5,520000
1420,3,2,300000
1104,2,1.5,238500
2843,5,4.0,673500
2842,5,3.5,628000
1820,4,2.5,417000
1729,3,3.0,404000
1517,3,2.0,357000
1664,3,2.0,377000
1937,4,3.5,434500
1750,3,3.0,408500
2863,5,4.0,652000
1974,4,3.5,441500
1716,3,3.0,393500
2889,5,4.5,669500
1692,3,2.5,352500
1809,3,3.0,420000
1265,2,2.0,248500
1917,4,2.5,411000
1305,3,3.0,307000
1209,2,2.0,279500
1157,2,2.0,224000
1634,3,2.0,369500
3775,6,5.5,874500
2545,4,3.5,600500
1540,3,2.5,321500
1220,2,1.5,250500
1849,3,2.5,433000
1750,3,2.5,390000
1775,3,2.0,395500
1483,3,2.5,313000
1323,2,1.5,266000
1510,3,2.5,333000
2530,5,4.0,581500
2080,4,2.5,448500
2376,4,3.5,538500
2270,4,3.5,506000
2495,4,3.0,585000
1428,3,3.0,294500
3175,5,4.5,737000
1812,3,2.5,385500
2518,4,3.0,578500
1891,4,3.5,454500
2053,4,3.5,472500
1333,2,2.0,284500
2118,4,2.5,500500
2068,4,3.5,450000
2185,4,3.5,480500
2391,4,2.5,544000
3960,6,5.0,918000
1858,4,2.5,406500
1413,3,2.5,311500
1922,4,3.0,425000
1417,3,2.5,331500
2067,4,2.5,445000
1301,3,2.0,271500
1525,3,3.0,321000
2504,5,3.5,603000
1811,3,2.0,383000
2763,5,3.5,643500
2369,4,2.5,545500
2647,5,4.5,603000
2380,4,3.0,563500
2985,5,3.5,689000
2091,4,3.0,485500
2544,4,3.0,583000
2834,5,4.0,662500
1442,3,2.0,300500
2561,5,4.5,620000
3004,5,4.5,705500
2622,5,4.0,616000
2531,5,3.5,577000
1243,2,1.5,263000
3706,6,4.0,833000
1832,4,3.5,439000
1814,4,2.5,407000
2149,4,2.5,474000
2244,4,3.5,534000
1315,3,3.0,311000
2073,4,3.5,480000
3005,5,4.0,676500
1665,3,2.0,383500
3538,6,5.0,833500
2388,4,3.0,554500
1955,4,3.0,439000
2013,4,2.5,474500
1396,3,2.0,330000
3340,6,4.5,801000
1805,4,3.5,425500
1516,3,3.0,335000
2502,4,3.5,563500
2281,4,3.0,522000
1720,3,3.0,388000
3224,6,4.5,761000
1721,3,2.5,358000
2578,5,3.5,605500
1436,3,3.0,328500
1798,3,2.5,374500
2201,4,3.5,522000
1922,4,3.0,433500
2923,5,4.0,659500
2598,5,4.0,592000
2845,5,3.5,663000
2228,4,3.0,510000
3199,5,3.5,735500
2798,5,3.5,635000
2482,4,2.5,579000
2846,5,4.0,668500
2915,5,4.0,691500
2247,4,3.5,536000
1949,4,3.0,465000
2355,4,2.5,516000
1176,2,1.5,224000
1993,4,3.5,445500
3949,6,4.0,886000
2181,4,3.5,487000
1459,3,2.5,305500
2500,4,2.5,567000
3038,5,4.0,673500
1755,3,2.5,398000
1873,4,3.5,441500
1295,2,2.0,276500
2955,5,4.5,668000
1179,2,1.5,237500
2471,4,2.5,557500
2265,4,3.0,522000
1864,4,3.0,445000
3019,5,4.5,706500
1251,2,2.0,269500
2486,4,3.5,574500
1184,2,2.0,252500
3199,5,3.5,732000
2648,5,3.5,602500
1819,3,3.0,416000
1142,2,1.5,216500
1989,4,2.5,471000
1419,3,3.0,318000
3011,6,5.0,706500
1652,3,2.5,375000
1955,4,3.5,425500
1824,4,3.0,403500
2468,4,3.5,582500
2870,5,3.5,678000
2462,4,3.5,549500
3694,6,5.5,873000
1668,3,2.5,357000
2331,4,2.5,533500
2477,4,3.0,542000
1673,3,3.0,373000
2307,4,3.0,535000
2200,4,2.5,477500
1963,4,3.5,440500
2476,4,3.5,543500
3519,6,4.5,824000
3832,6,5.5,902000
1442,3,3.0,340500
1151,2,1.5,240500
2944,5,3.5,664500
1812,4,3.0,425000
2295,4,3.0,536000
1821,4,3.0,435000
2059,4,3.5,478000
1191,2,2.0,243500
2627,5,3.5,601000
2417,4,3.5,532000
1415,3,3.0,307500
2492,4,3.5,589500
2582,5,3.5,589500
2464,4,3.0,552500
1818,4,3.5,392500
1202,2,2.0,231000
1315,3,3.0,288500
2456,4,3.5,539500
1197,2,1.5,241500
2358,4,3.0,544500
1981,4,2.5,441000
2597,5,4.0,577000
1507,3,2.0,356000
1722,3,2.0,355000
2321,4,3.0,548500
1808,3,3.0,402500
2983,5,3.5,691000
1997,4,3.5,448000
2241,4,3.5,497500
1830,4,3.5,434500
