temperature,vibration,pressure,rotation_speed,state
25.5,0.2,105.2,1001,0
28.1,0.3,110.5,998,0
45.2,0.8,130.1,960,1
75.5,2.5,180.3,850,2
22.4,0.1,102.8,1010,0
35.8,0.6,125.4,1030,1
80.1,3.1,190.8,1150,2
26.3,0.25,108.9,995,0
48.9,1.1,140.2,940,1
85.3,4.5,195.1,1200,2
24.9,0.22,106.7,1005,0
33.7,0.55,122.3,1040,1
78.2,2.8,185.6,800,2
27.5,0.35,112.1,990,0
42.1,0.9,135.8,970,1
72.8,2.1,175.4,900,2
23.1,0.15,104.3,1015,0
38.4,0.7,128.9,1020,1
82.6,3.5,192.5,1100,2
29.0,0.4,115.0,985,0
23.4,0.18,103.5,1012,0
27.8,0.33,111.8,992,0
46.1,0.85,132.4,965,1
76.9,2.6,182.1,855,2
21.9,0.12,101.2,1018,0
36.5,0.65,126.7,1035,1
81.2,3.3,191.9,1155,2
25.8,0.28,109.5,997,0
49.5,1.2,142.8,935,1
86.4,4.8,198.3,1205,2
24.2,0.21,105.9,1008,0
34.1,0.58,123.1,1045,1
79.3,2.9,187.2,805,2
27.1,0.38,113.4,988,0
43.3,0.95,137.5,975,1
73.9,2.2,177.8,905,2
22.8,0.16,104.8,1013,0
39.2,0.75,129.6,1025,1
83.7,3.8,193.6,1105,2
29.5,0.42,116.3,983,0
22.1,0.11,100.5,1020,0
28.9,0.39,114.2,989,0
47.5,1.0,138.9,955,1
71.4,2.0,170.1,920,2
26.7,0.31,110.4,999,0
32.8,0.52,120.7,1050,1
88.0,5.0,200.0,750,2
24.5,0.19,107.1,1003,0
50.0,1.3,145.0,925,1
70.0,1.9,165.0,930,2
25.1,0.23,106.2,1002,0
28.3,0.32,111.1,996,0
44.5,0.82,131.2,962,1
74.8,2.4,181.5,860,2
22.7,0.14,102.1,1016,0
37.1,0.68,127.3,1032,1
81.9,3.4,192.8,1160,2
26.2,0.27,109.1,998,0
48.2,1.15,141.3,938,1
85.8,4.7,197.5,1210,2
23.9,0.2,105.5,1007,0
34.8,0.61,124.2,1042,1
78.8,3.0,188.3,810,2
27.4,0.37,112.9,987,0
42.8,0.98,136.9,972,1
73.2,2.15,176.5,910,2
23.5,0.17,104.1,1014,0
38.8,0.72,129.1,1028,1
84.1,3.7,194.2,1110,2
29.8,0.45,117.1,982,0
21.5,0.1,100.1,1022,0
29.2,0.41,114.8,989,0
47.8,1.05,139.5,952,1
71.9,2.05,171.2,925,2
26.9,0.34,110.9,997,0
33.2,0.54,121.3,1048,1
88.5,5.2,201.0,740,2
24.8,0.24,107.8,1004,0
50.5,1.35,146.2,922,1
70.5,1.95,166.3,935,2
